case,input_width,split_bit,input_transform,output_transform,matches,total,exact,match_ratio,examples
ex289,16,4,reverse_comp_all,identity,229,16384,0,0.013977,x=0x0:p=0xffff:pred=0x0:exp=0xffff;x=0x1:p=0x7fff:pred=0x4000:exp=0xffbf;x=0x2:p=0xbfff:pred=0x2000:exp=0xfbff
ex289,16,4,reverse_comp_all,comp,331,16384,0,0.020203,x=0x1:p=0x7fff:pred=0xbfff:exp=0xffbf;x=0x2:p=0xbfff:pred=0xdfff:exp=0xfbff;x=0x4:p=0xdfff:pred=0xfdff:exp=0xbfff
ex289,16,4,reverse_comp_all,reverse,194,16384,0,0.011841,x=0x0:p=0xffff:pred=0x0:exp=0xffff;x=0x1:p=0x7fff:pred=0x2:exp=0xffbf;x=0x2:p=0xbfff:pred=0x4:exp=0xfbff
ex289,16,4,reverse_comp_all,comp_reverse,390,16384,0,0.023804,x=0x1:p=0x7fff:pred=0xfffd:exp=0xffbf;x=0x2:p=0xbfff:pred=0xfffb:exp=0xfbff;x=0x3:p=0x3fff:pred=0xcfff:exp=0xfff3
ex289,16,4,reverse_comp_all,pair_swap,19,16384,0,0.001160,x=0x0:p=0xffff:pred=0x0:exp=0xffff;x=0x1:p=0x7fff:pred=0x4000:exp=0xffbf;x=0x2:p=0xbfff:pred=0x2000:exp=0xfbff
ex289,16,4,reverse_comp_all,comp_pair_swap,101,16384,0,0.006165,x=0x1:p=0x7fff:pred=0xbfff:exp=0xffbf;x=0x2:p=0xbfff:pred=0xdfff:exp=0xfbff;x=0x4:p=0xdfff:pred=0xfeff:exp=0xbfff
ex289,16,4,reverse_comp_except_split,identity,0,16384,0,0.000000,x=0x0:p=0xf7ff:pred=0x0:exp=0xfbff;x=0x1:p=0x77ff:pred=0x4000:exp=0xffbb;x=0x2:p=0xb7ff:pred=0x2000:exp=0xbbff
ex289,16,4,reverse_comp_except_split,comp,0,16384,0,0.000000,x=0x0:p=0xf7ff:pred=0xffff:exp=0xfbff;x=0x1:p=0x77ff:pred=0xbfff:exp=0xffbb;x=0x2:p=0xb7ff:pred=0xdfff:exp=0xbbff
ex289,16,4,reverse_comp_except_split,reverse,0,16384,0,0.000000,x=0x0:p=0xf7ff:pred=0x0:exp=0xfbff;x=0x1:p=0x77ff:pred=0x2:exp=0xffbb;x=0x2:p=0xb7ff:pred=0x4:exp=0xbbff
ex289,16,4,reverse_comp_except_split,comp_reverse,0,16384,0,0.000000,x=0x0:p=0xf7ff:pred=0xffff:exp=0xfbff;x=0x1:p=0x77ff:pred=0xfffd:exp=0xffbb;x=0x2:p=0xb7ff:pred=0xfffb:exp=0xbbff
ex289,16,4,reverse_comp_except_split,pair_swap,0,16384,0,0.000000,x=0x0:p=0xf7ff:pred=0x0:exp=0xfbff;x=0x1:p=0x77ff:pred=0x4000:exp=0xffbb;x=0x2:p=0xb7ff:pred=0x2000:exp=0xbbff
