case,model,input_order,output_order,layer,layer_size,matches,match_ratio,param,mean_cyclic_distance,max_cyclic_distance
ex286,affine,gray_value,gray_value,3,286,6,0.020979,a=-3;b=110,64.790210,142
ex286,affine,gray_value,gray_value,4,715,10,0.013986,a=1;b=0,169.851748,357
ex286,affine,gray_value,gray_value,5,1287,14,0.010878,a=1;b=0,295.052836,643
ex286,affine,gray_value,gray_value,6,1716,10,0.005828,a=1;b=0,387.306527,858
ex286,affine,gray_value,gray_value,7,1716,7,0.004079,a=-5;b=1137,408.697552,857
ex286,affine,gray_value,gray_value,8,1287,8,0.006216,a=-7;b=252,317.165501,643
ex286,affine,gray_value,gray_value,9,715,7,0.009790,a=1;b=3,157.169231,356
ex286,affine,gray_value,gray_value,10,286,9,0.031469,a=1;b=1,55.153846,142
ex286,affine,gray_value,gray_value,11,78,11,0.141026,a=1;b=0,11.333333,37
ex286,affine,gray_value,gray_value,12,13,4,0.307692,a=1;b=0,1.692308,6
ex286,affine,gray_value,gray_value,13,1,1,1.000000,trivial,0.000000,0
ex286,affine,gray_value,rev_brgc_index,0,1,1,1.000000,trivial,0.000000,0
ex286,affine,gray_value,rev_brgc_index,1,13,4,0.307692,a=-1;b=6,1.769231,4
ex286,affine,gray_value,rev_brgc_index,2,78,5,0.064103,a=1;b=0,12.589744,39
ex286,affine,gray_value,rev_brgc_index,3,286,5,0.017483,a=-5;b=6,69.227273,141
ex286,affine,gray_value,rev_brgc_index,4,715,8,0.011189,a=1;b=31,147.720280,356
ex286,affine,gray_value,rev_brgc_index,5,1287,6,0.004662,a=-1;b=999,281.912976,643
ex286,affine,gray_value,rev_brgc_index,6,1716,7,0.004079,a=-7;b=810,445.567016,858
ex286,affine,gray_value,rev_brgc_index,7,1716,6,0.003497,a=1;b=6,404.421329,857
ex286,affine,gray_value,rev_brgc_index,8,1287,7,0.005439,a=-5;b=1239,313.875680,643
ex286,affine,gray_value,rev_brgc_index,9,715,7,0.009790,a=-2;b=559,172.317483,357
ex286,affine,gray_value,rev_brgc_index,10,286,7,0.024476,a=3;b=38,71.587413,143
ex286,affine,gray_value,rev_brgc_index,11,78,5,0.064103,a=5;b=21,17.410256,39
ex286,affine,gray_value,rev_brgc_index,12,13,4,0.307692,a=2;b=10,2.692308,6
ex286,affine,gray_value,rev_brgc_index,13,1,1,1.000000,trivial,0.000000,0
ex286,affine,gray_value,rev_gray_value,0,1,1,1.000000,trivial,0.000000,0
ex286,affine,gray_value,rev_gray_value,1,13,4,0.307692,a=-1;b=6,1.769231,4
ex286,affine,gray_value,rev_gray_value,2,78,5,0.064103,a=1;b=0,13.371795,38
ex286,affine,gray_value,rev_gray_value,3,286,6,0.020979,a=1;b=0,54.398601,142
ex286,affine,gray_value,rev_gray_value,4,715,8,0.011189,a=1;b=0,151.183217,357
ex286,affine,gray_value,rev_gray_value,5,1287,7,0.005439,a=1;b=1,291.065268,642
ex286,affine,gray_value,rev_gray_value,6,1716,6,0.003497,a=-1;b=1123,386.344988,857
ex286,affine,gray_value,rev_gray_value,7,1716,6,0.003497,a=1;b=128,393.763403,858
