case,input_coord,output_coord,degree,exact_bits,total_bits,total_terms,low_degree_terms,max_degree,bit_term_counts,bit_degrees,notes
ex286,suffix_reverse,prefix_onehot,3,1,13,40840,1909,13,2880:4130:3862:4260:769:1:3903:3861:4004:2348:4138:2706:3978,12:13:13:13:8:1:13:13:13:10:13:12:13,output-coordinate ANF over transformed input coordinates
ex286,prefix_natural,prefix_onehot,2,1,13,40840,392,13,2880:4130:3862:4260:769:1:3903:3861:4004:2348:4138:2706:3978,12:13:13:13:8:1:13:13:13:10:13:12:13,output-coordinate ANF over transformed input coordinates
ex286,suffix_reverse,prefix_onehot,2,1,13,40840,392,13,2880:4130:3862:4260:769:1:3903:3861:4004:2348:4138:2706:3978,12:13:13:13:8:1:13:13:13:10:13:12:13,output-coordinate ANF over transformed input coordinates
ex286,prefix_natural,prefix_onehot,1,1,13,40840,45,13,2880:4130:3862:4260:769:1:3903:3861:4004:2348:4138:2706:3978,12:13:13:13:8:1:13:13:13:10:13:12:13,output-coordinate ANF over transformed input coordinates
ex286,suffix_reverse,prefix_onehot,1,1,13,40840,45,13,2880:4130:3862:4260:769:1:3903:3861:4004:2348:4138:2706:3978,12:13:13:13:8:1:13:13:13:10:13:12:13,output-coordinate ANF over transformed input coordinates
ex286,prefix_onehot,suffix_onehot,4,1,13,43769,5389,13,3660:4059:3884:4024:3740:2108:3834:3916:3487:3667:3911:1:3478,13:13:13:13:13:8:13:13:10:12:13:1:12,output-coordinate ANF over transformed input coordinates
ex286,prefix_onehot,suffix_onehot,3,1,13,43769,1768,13,3660:4059:3884:4024:3740:2108:3834:3916:3487:3667:3911:1:3478,13:13:13:13:13:8:13:13:10:12:13:1:12,output-coordinate ANF over transformed input coordinates
ex286,prefix_onehot,suffix_onehot,2,1,13,43769,386,13,3660:4059:3884:4024:3740:2108:3834:3916:3487:3667:3911:1:3478,13:13:13:13:13:8:13:13:10:12:13:1:12,output-coordinate ANF over transformed input coordinates
ex286,prefix_onehot,suffix_onehot,1,1,13,43769,42,13,3660:4059:3884:4024:3740:2108:3834:3916:3487:3667:3911:1:3478,13:13:13:13:13:8:13:13:10:12:13:1:12,output-coordinate ANF over transformed input coordinates
ex286,prefix_onehot,prefix_onehot,4,1,13,43781,5401,13,3479:4025:3835:3661:2109:1:3917:3741:3912:3488:4060:3668:3885,12:13:13:13:8:1:13:13:13:10:13:12:13,output-coordinate ANF over transformed input coordinates
ex286,prefix_onehot,prefix_onehot,3,1,13,43781,1780,13,3479:4025:3835:3661:2109:1:3917:3741:3912:3488:4060:3668:3885,12:13:13:13:8:1:13:13:13:10:13:12:13,output-coordinate ANF over transformed input coordinates
ex286,prefix_onehot,prefix_onehot,2,1,13,43781,398,13,3479:4025:3835:3661:2109:1:3917:3741:3912:3488:4060:3668:3885,12:13:13:13:8:1:13:13:13:10:13:12:13,output-coordinate ANF over transformed input coordinates
